title,latitude,longitude,description,url
79 SEL Le Lien,46.97615,-0.2168,79100 Thouars,http://selthouarsais.free.fr
80 Potes en Sel,49.89905,2.27527,80000 Amiens,http://potesensel.communityforge.net/
81 Thoré du Sel,43.507,2.39672,81660 Pont de l'Arn,http://www.thoredusel.com/
81 Gailla'SEL,43.90181,1.8965,81600 GAILLAC,https://gaillac.wixsite.com/gaillasel
46 Sel de Grésigne,44.27812,1.39403,46170 Flaugnac,http://seldegresigne.jimdo.com
82 Echanges en brulhois,44.11065,0.81932,82340 Donzac,
82 SEL de Castel Moissac,44.10485,1.08467,82200 Moissac,http://www.selcastelmoissac.fr
83 Verdon en SEL,43.72607,5.81281,83560 Vinon sur Verdon,www.verdonensel.fr
83 Sel'Avenir 83,43.53772,6.46499,83300 Draguignan,https://sites.google.com/site/selavenir/
84 SEL Rit,43.93233,4.9434,84470 Châteauneuf-de-Gadagne,http://leselrit.jimdo.com/ 
84 Le Beausel,44.05027,5.07027,84200 Carpentras,http://seldessorgues.fr/
84 Sel des Sorgues,43.91419,5.0571,84800 L'Isle sur la Sorgue,seldessorgues.fr
84 SEL'ons-nous Cavaillon,43.8366,5.04078,84300 Cavaillon,http://selonnous.communityforge.net/
Seleil8426,44.32079,4.94548,84820 Visan,
